jurisdiction,country,region_type,skill_gaming_allowed,capacity_score_0to5,permitted_types_summary,operator_precedent,important_notes
New Jersey,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG; no dominoes cash,partial,Cash dominoes not available (operator policy).
New Mexico,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
New York,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
North Carolina,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
North Dakota,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
Ohio,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
Oklahoma,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
Oregon,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
Pennsylvania,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
Rhode Island,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
South Carolina,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
South Dakota,US,State,No (cash skill tourneys blocked online/mobile),0.0,N/A,no,Flagged as restricted by major operators for online/mobile cash skill tournaments.
Tennessee,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
Texas,US,State,Yes (pure-skill cash contests),3.0,H2H & tournaments; no chance/RNG,yes,DFS/picks opinions create caution for sports formats; non‑sports pure‑skill contests generally separated from gambling statutes. Avoid DFS-like offerings.
Utah,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
Vermont,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
Virginia,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
Washington,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
West Virginia,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
Wisconsin,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
Wyoming,US,State,Yes (pure-skill cash contests),4.0,H2H & tournaments; no chance/RNG,yes,Ensure games are demonstrably skill-predominant; remove internal chance.
